point_time,point_val,Batch_ID,ByTool
2026/1/4,11.7,BATCH-20240806-515,C
2026/1/7,11.7,BATCH-20240806-692,A
2026/1/10,11.7,BATCH-20240807-082,B
2026/1/13,11.7,BATCH-20240809-613,C
2026/1/16,11.7,BATCH-20240811-893,A
2026/1/19,11.8,BATCH-20240812-604,B
2026/1/22,11.7,BATCH-20240813-204,C
2026/1/25,11.7,BATCH-20240820-275,A
2026/1/28,11.7,BATCH-20240822-944,B
2026/1/31,11.7,BATCH-20240823-069,C
2026/2/3,11.7,BATCH-20240824-097,A
2026/2/6,11.7,BATCH-20240828-613,B
2026/2/9,11.7,BATCH-20240828-624,C
2026/2/12,11.7,BATCH-20240902-603,A
2026/2/15,11.7,BATCH-20240902-642,B
2026/2/18,11.8,BATCH-20240903-241,C
2026/2/21,11.7,BATCH-20240908-371,A
2026/2/24,11.7,BATCH-20240909-087,B
2026/2/27,11.7,BATCH-20240909-032,C
2026/3/2,11.7,BATCH-20240910-683,A
2026/3/5,11.7,BATCH-20240911-054,B
2026/3/8,11.7,BATCH-20240914-834,C
2026/3/11,11.7,BATCH-20240914-897,A
2026/3/14,11.7,BATCH-20240915-909,B
2026/3/17,11.7,BATCH-20240919-741,C
2026/3/20,11.7,BATCH-20240920-105,A
2026/3/23,11.7,BATCH-20240920-452,B
2026/3/26,11.7,BATCH-20240926-493,C
2026/3/29,11.7,BATCH-20240927-674,A
2026/4/1,11.7,BATCH-20240927-494,B
2026/4/4,11.7,BATCH-20241001-613,C
2026/4/7,11.7,BATCH-20241001-476,A
2026/4/10,11.8,BATCH-20241005-536,B
2026/4/13,11.7,BATCH-20241007-896,C
2026/4/16,11.7,BATCH-20241012-197,A
2026/4/19,11.7,BATCH-20241017-309,B
2026/4/22,11.7,BATCH-20241103-468,C
2026/4/25,11.7,BATCH-20241104-297,A
2026/4/28,11.7,BATCH-20241109-047,B
2026/5/1,11.7,BATCH-20241109-805,C
2026/5/4,11.7,BATCH-20241113-061,A
2026/5/7,11.7,BATCH-20241114-312,B
2026/5/10,11.7,BATCH-20241116-885,C
2026/5/13,11.7,BATCH-20241119-210,A
2026/5/16,11.7,BATCH-20241119-042,B
2026/5/19,11.7,BATCH-20241122-255,C
2026/5/22,11.8,BATCH-20241122-020,A
2026/5/25,11.7,BATCH-20241127-714,B
2026/5/28,11.7,BATCH-20241129-168,C
2026/5/31,11.7,BATCH-20241201-382,A
2026/6/3,11.7,BATCH-20241205-946,B
2026/6/6,11.7,BATCH-20241205-703,C
2026/6/9,11.7,BATCH-20241206-970,A
2026/6/12,11.7,BATCH-20241206-590,B
2026/6/15,11.7,BATCH-20241208-053,C
2026/6/18,11.7,BATCH-20241212-867,A
2026/6/21,11.7,BATCH-20241215-716,B
2026/6/24,11.7,BATCH-20241218-214,C
2026/6/27,11.7,BATCH-20241219-787,A
2026/6/30,11.7,BATCH-20241219-670,B
2026/7/3,11.7,BATCH-20241222-135,C
2026/7/6,11.7,BATCH-20241224-274,A
2026/7/9,11.7,BATCH-20241225-367,B
2026/7/12,11.7,BATCH-20241226-003,C
2026/7/15,11.7,BATCH-20241230-279,A
2026/7/18,11.7,BATCH-20241231-378,B
2026/7/21,11.7,BATCH-20250101-931,C
2026/7/24,11.7,BATCH-20250101-622,A
2026/7/27,11.7,BATCH-20250103-192,B
2026/7/30,11.7,BATCH-20250109-955,C
2026/8/2,11.7,BATCH-20250110-054,A
2026/8/5,11.7,BATCH-20250111-189,B
2026/8/8,11.7,BATCH-20250114-052,C
2026/8/11,11.7,BATCH-20250115-989,A
2026/8/14,11.7,BATCH-20250116-256,B
2026/8/17,11.7,BATCH-20250122-766,C
2026/8/20,11.7,BATCH-20250125-613,A
2026/8/23,11.7,BATCH-20250130-463,B
2026/8/26,11.7,BATCH-20250203-700,C
2026/8/29,11.7,BATCH-20250203-943,A
2026/9/1,11.7,BATCH-20250204-851,B
2026/9/4,11.7,BATCH-20250208-145,C
2026/9/7,11.7,BATCH-20250210-754,A
2026/9/10,11.7,BATCH-20250210-728,B
2026/9/13,11.7,BATCH-20250210-379,C
2026/9/16,11.7,BATCH-20250218-438,A
2026/9/19,11.7,BATCH-20250219-646,B
2026/9/22,11.7,BATCH-20250224-986,C
2026/9/25,11.7,BATCH-20250228-814,A
2026/9/28,11.7,BATCH-20250303-543,B
2026/10/1,11.7,BATCH-20250303-346,C
2026/10/4,11.8,BATCH-20250304-118,A
2026/10/7,11.7,BATCH-20250307-416,B
2026/10/10,11.7,BATCH-20250313-745,C
2026/10/13,11.7,BATCH-20250315-806,A
2026/10/16,11.7,BATCH-20250315-229,B
2026/10/19,11.7,BATCH-20250326-560,C
2026/10/22,11.7,BATCH-20250401-412,A
2026/10/25,11.7,BATCH-20250404-043,B
2026/10/28,11.7,BATCH-20250404-961,C
2026/10/31,11.7,BATCH-20250408-435,A
2026/11/3,11.7,BATCH-20250409-951,B
2026/11/6,11.7,BATCH-20250410-125,C
2026/11/9,11.7,BATCH-20250411-612,A
2026/11/12,11.7,BATCH-20250411-287,B
2026/11/15,11.7,BATCH-20250416-387,C
2026/11/18,11.7,BATCH-20250416-960,A
2026/11/21,11.7,BATCH-20250417-373,B
2026/11/24,11.7,BATCH-20250425-182,C
2026/11/27,11.7,BATCH-20250426-144,A
2026/11/30,11.7,BATCH-20250426-139,B
2026/12/3,11.7,BATCH-20250501-594,C
2026/12/6,11.7,BATCH-20250502-343,A
2026/12/9,11.7,BATCH-20250504-143,B
2026/12/12,11.7,BATCH-20250509-885,C
2026/12/15,11.7,BATCH-20250514-821,A
2026/12/18,11.7,BATCH-20250515-022,B
2026/12/21,11.7,BATCH-20250517-723,C
2026/12/24,11.7,BATCH-20250517-487,A
2026/12/27,11.7,BATCH-20250517-604,B
2026/12/30,11.8,BATCH-20250520-917,C
2027/1/2,11.7,BATCH-20250522-107,A
2027/1/5,11.7,BATCH-20250525-146,B
2027/1/8,11.7,BATCH-20250526-213,C
2027/1/11,11.7,BATCH-20250530-281,A
2027/1/14,11.7,BATCH-20250531-063,B
2027/1/17,11.7,BATCH-20250531-056,C
2027/1/20,11.7,BATCH-20250604-238,A
2027/1/23,11.7,BATCH-20250610-309,B
2027/1/26,11.7,BATCH-20250610-332,C
2027/1/29,11.7,BATCH-20250611-868,A
2027/2/1,11.7,BATCH-20250612-693,B
2027/2/4,11.7,BATCH-20250625-861,C
2027/2/7,11.7,BATCH-20250625-132,A
2027/2/10,11.7,BATCH-20250701-925,B
2027/2/13,11.7,BATCH-20250701-372,C
2027/2/16,11.7,BATCH-20250701-401,A
2027/2/19,11.7,BATCH-20250704-941,B
2027/2/22,11.7,BATCH-20250706-298,C
2027/2/25,11.7,BATCH-20250711-692,A
2027/2/28,11.7,BATCH-20250712-999,B
2027/3/3,11.7,BATCH-20250713-803,C
2027/3/6,11.7,BATCH-20250717-506,A
2027/3/9,11.7,BATCH-20250717-005,B
2027/3/12,11.7,BATCH-20250722-747,C
2027/3/15,11.7,BATCH-20250724-767,A
2027/3/18,11.7,BATCH-20250728-285,B
2027/3/21,11.7,BATCH-20250729-152,C
2027/3/24,11.7,BATCH-20250731-677,A
2027/3/27,11.7,BATCH-20250807-419,B
2027/3/30,11.7,BATCH-20250808-242,C
2027/4/2,11.7,BATCH-20250811-423,A
2027/4/5,11.7,BATCH-20250816-544,B
2027/4/8,11.7,BATCH-20250817-840,C
2027/4/11,11.7,BATCH-20250819-567,A
2027/4/14,11.7,BATCH-20250823-602,B
2027/4/17,11.7,BATCH-20250823-248,C
2027/4/20,11.7,BATCH-20250823-735,A
2027/4/23,11.8,BATCH-20250825-727,B
2027/4/26,11.7,BATCH-20250827-560,C
2027/4/29,11.8,BATCH-20250827-093,A
2027/5/2,11.7,BATCH-20250827-094,B
2027/5/5,11.8,BATCH-20250828-059,C
2027/5/8,11.7,BATCH-20250828-902,A
2027/5/11,11.7,BATCH-20250901-148,B
2027/5/14,11.7,BATCH-20250902-110,C
2027/5/17,11.7,BATCH-20250903-241,A
2027/5/20,11.7,BATCH-20250906-734,B
2027/5/23,11.7,BATCH-20250907-817,C
2027/5/26,11.7,BATCH-20250909-454,A
2027/5/29,11.8,BATCH-20250911-591,B
2027/6/1,11.7,BATCH-20250912-833,C
2027/6/4,11.7,BATCH-20250918-441,A
2027/6/7,11.7,BATCH-20250921-755,B
2027/6/10,11.7,BATCH-20250925-910,C
2027/6/13,11.7,BATCH-20250926-496,A
2027/6/16,11.7,BATCH-20250929-097,B
2027/6/19,11.7,BATCH-20251001-668,C
2027/6/22,11.7,BATCH-20251003-360,A
2027/6/25,11.7,BATCH-20251005-623,B
2027/6/28,11.7,BATCH-20251006-773,C
2027/7/1,11.7,BATCH-20251008-152,A
2027/7/4,11.7,BATCH-20251009-858,B
2027/7/7,11.7,BATCH-20251010-617,C
2027/7/10,11.7,BATCH-20251013-594,A
2027/7/13,11.7,BATCH-20251021-372,B
2027/7/16,11.7,BATCH-20251025-043,C
2027/7/19,11.7,BATCH-20251029-691,A
2027/7/22,11.7,BATCH-20251030-694,B
2027/7/25,11.7,BATCH-20251102-975,C
2027/7/28,11.7,BATCH-20251102-884,A
2027/7/31,11.7,BATCH-20251109-114,B
2027/8/3,11.7,BATCH-20251110-987,C
2027/8/6,11.8,BATCH-20251113-903,A
2027/8/9,11.7,BATCH-20251114-230,B
2027/8/12,11.7,BATCH-20251114-487,C
2027/8/15,11.7,BATCH-20251116-162,A
2027/8/18,11.7,BATCH-20251116-207,B
2027/8/21,11.8,BATCH-20251116-902,C
2027/8/24,11.7,BATCH-20251118-758,A
2027/8/27,11.7,BATCH-20251124-382,B
2027/8/30,11.7,BATCH-20251125-280,C
2027/9/2,11.7,BATCH-20251129-628,A
2027/9/5,11.7,BATCH-20251203-951,B
2027/9/8,11.7,BATCH-20251205-766,C
2027/9/11,11.7,BATCH-20251205-246,A
2027/9/14,11.7,BATCH-20251205-331,B
2027/9/17,11.7,BATCH-20251210-129,C
2027/9/20,11.7,BATCH-20251210-168,A
2027/9/23,11.7,BATCH-20251211-802,B
2027/9/26,11.7,BATCH-20251211-805,C
2027/9/29,11.7,BATCH-20251215-240,A
2027/10/2,11.7,BATCH-20251215-692,B
2027/10/5,11.7,BATCH-20251216-412,C
2027/10/8,11.7,BATCH-20251219-942,A
2027/10/11,11.7,BATCH-20251221-882,B
2027/10/14,11.7,BATCH-20251223-422,C
2027/10/17,11.7,BATCH-20251223-749,A
2027/10/20,11.7,BATCH-20251226-585,B
2027/10/23,11.7,BATCH-20251230-121,C
2027/10/26,11.8,BATCH-20251231-674,A
2027/10/29,11.7,BATCH-20260101-632,B
2027/11/1,11.7,BATCH-20260101-080,C
2027/11/4,11.7,BATCH-20260102-207,A
2027/11/7,11.7,BATCH-20260102-262,B
2027/11/10,11.7,BATCH-20260106-150,C
2027/11/13,11.7,BATCH-20260109-861,A
2027/11/16,11.7,BATCH-20260110-763,B
2027/11/19,11.7,BATCH-20260112-360,C
2027/11/22,11.7,BATCH-20260114-836,A
